ReviewTitle,ReviewBody,ReviewStar,Product,Dominant_topic,Percent,Processed_text,Keywords
Honest review of an edm music lover,no doubt great bass great extent noise cancellation decent sound clarity mindblowing battery following dissapointed though tried lot adjust1bluetooth range 10m2 pain ear due conical budscan removed3 wires bit long makes odd front4 no pouch provided5 worst part low quality distoring mic other person keeps complaining voice,3,boAt Rockerz 255,1,0.478,"['bass', 'extent', 'noise', 'cancellation', 'clarity', 'battery', 'lot', 'adjust1bluetooth', 'pain', 'ear', 'wire', 'front4', 'pouch', 'part', 'quality', 'person', 'voice']",bass cancellation clarity earphone headphone music noise quality sound voice
Unreliable earphones with high cost,this earphones unreliable bought 15 days meanwhile right side ear buds got cracked automatically got divided two parts sound quality also much good ok one thing bass good boat earphonesguysalso proof attached picsplease see think buying​ unreliable productthanks,1,boAt Rockerz 255,0,0.439,"['day', 'side', 'ear', 'bud', 'part', 'quality', 'thing', 'boat', 'earphonesguysalso', 'proof', 'picsplease', 'productthank']",battery call day hour life money music product quality use
Really good and durable.,bought itfor 999i purchased second time gifted first one brother this really goodsound quality really goodyou connect 2 devices timei connect laptop mobile bothwhen listening muaic lappy u get call switches mobilethis switch device good price awesomebattery stand 36 hours used continously 8 hours one go so battery life pretty awesomecomfortable ear,4,boAt Rockerz 255,0,0.465,"['time', 'brother', 'quality', 'device', 'laptop', 'bothwhen', 'call', 'switch', 'switch', 'device', 'price', 'awesomebattery', 'hour', 'hour', 'battery', 'life', 'ear']",battery call day hour life money music product quality use
stopped working in just 14 days,its sound quality adorable overall good 2 weeks stopped working since never powered i claiming warrenty still undergoing,1,boAt Rockerz 255,2,0.54,"['quality', 'week', 'warrenty']",base bass brand durability earphone jbl price quality range sound
Just Awesome Wireless Headphone under 1000...,its awesome good sound quality 89 hrs battery life just waww look i brought 999 rupeesbut amazons packageing system very bad very poor packaging flipcarts packaging system much better amazon,5,boAt Rockerz 255,0,0.943,"['sound', 'quality', 'hrs', 'battery', 'life', 'waww', 'amazon', 'packageing', 'system', 'packaging', 'flipcart', 'packaging', 'system', 'amazon']",battery call day hour life money music product quality use
Charging port not working,after 11 days charging port isnt working i cant even return wat i know one year warranty 11 days cmon boat please send new one,1,boAt Rockerz 255,3,0.861,"['day', 'port', 'year', 'warranty', 'day', 'boat']",device ear issue month phone product service time warranty year
Loved the color and sound !!,sound455build quality455battery life 45earphones quality good strong magnetic lock straps good quality earphones wires good buttons quality good sound full punchy bass balanced treble sorrund effect good fitting ears hope connectivity good bcz last boat bluetooth bassheads 225 connection issues this worth price hope packaging good bubble wrapping,4,boAt Rockerz 255,1,0.273,"['life', 'quality', 'lock', 'strap', 'quality', 'earphone', 'wire', 'button', 'quality', 'sound', 'bass', 'sorrund', 'effect', 'ear', 'connectivity', 'good', 'boat', 'connection', 'issue', 'price', 'hope', 'bubble', 'wrapping']",bass cancellation clarity earphone headphone music noise quality sound voice
Great sound with worst mic.,after one month usage reviewing pros1 sound quality2 design3 weight4 batterycons1 bad mic talking2 cant use riding bike3 music loud,3,boAt Rockerz 255,4,0.373,"['month', 'usage', 'pros1', 'sound', 'quality2', 'talking2', 'bike3', 'music']",button cable earphone month side speaker use volume wire work
Battery life is good enough to keep going all day,i can’t get enough earphone the bass amazing perfect music lover the battery life good enough keep going day the fact i connect laptop phone time switch makes experience much better i use earphones lot voice calls doesn’t let this must buy music lovers,5,boAt Rockerz 255,0,0.45,"['earphone', 'bass', 'music', 'battery', 'life', 'day', 'fact', 'laptop', 'phone', 'time', 'switch', 'experience', 'use', 'earphone', 'lot', 'voice', 'call', 'music', 'lover']",battery call day hour life money music product quality use
Very very bad Durabity,the product durability 1 monthi lost bill details cant claim warrenty but earphones built quality bad it stops wrking completely 1 month sep 14 nov 11 life span dont lose ur bill details incase u want warranty and purchasing u must register ur product boats site replacement warranty,1,boAt Rockerz 255,3,0.387,"['product', 'durability', 'monthi', 'bill', 'detail', 'earphone', 'quality', 'month', 'life', 'span', 'bill', 'detail', 'warranty', 'purchasing', 'product', 'boat', 'site', 'replacement', 'warranty']",device ear issue month phone product service time warranty year
